vendor,trade,item,description,unit,qty,unit_cost,line_total,quoted_total,notes
Lynn-Abbate Tile 10.31.25 - Copy,concrete,foundation,4 SLABS OF 3CM TAJ MAHAL QUARTZITE FOR KITCHEN WET BAR AND ALL BATH VANITY TOPS,EA,4.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,concrete,foundation,2 SLABS OF 2CM POLISHED WHITE QUARTZ FOR ALL SHOWER COMPONENTS,EA,2.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,hvac,system_install,DAMAGES CAUSED BY OTHER PARTIES CUSTOMER HAS 24 HOURS TO REPORT ANY CONCERNS WITH THEIR PRODUCT OR,EA,24.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,,50_deposit_is_due_upon_acceptance_of_pro,50 DEPOSIT IS DUE UPON ACCEPTANCE OF PROPOSAL AND BALANCE DUE AT INSTALLATION DEPOSIT PAYMENTS,EA,50.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,,and_marble_may_withdraw_this_proposal_at,AND MARBLE MAY WITHDRAW THIS PROPOSAL AT ANY TIME IF NOT ACCEPTED WITHIN 30 DAYS FROM DATE ABOVE,EA,30.0,,,,
Lynn-Cirtus Roofing 10.24.25,,3900_pinecone_ln_vero_beach_fl,3900 Pinecone Ln Vero Beach Fl,EA,3900.0,,32968.0,32968.0,
Lynn-Cirtus Roofing 10.24.25,,office,Office,EA,1.0,,7725881194.0,7725881194.0,
Lynn-Cirtus Roofing 10.24.25,,emergency,Emergency,EA,1.0,,7722845613.0,7722845613.0,
Lynn-Cirtus Roofing 10.24.25,,date,Date,EA,1.0,,102425.0,102425.0,
Lynn-Cirtus Roofing 10.24.25,,1_new_construction_home_assumes_all_plyw,1 New Construction Home assumes all Plywood to be installed by Contractor and Nailed per FBC,EA,1.0,,,,
Lynn-Cirtus Roofing 10.24.25,,2_home_assumes_permit_expenses_to_be_by,2 Home assumes Permit Expenses to be by Contractor,EA,2.0,,,,
Lynn-Cirtus Roofing 10.24.25,roofing,roof_assembly,3 Dry in all areas using Sharkskin Ultra SA Peel and Stick Underlayment,EA,3.0,,,,
Lynn-Cirtus Roofing 10.24.25,roofing,roof_assembly,roof an additional layer of peel and stick will be added from 2 below the new penetration all the way to the first Hip or Ridge to,EA,2.0,,,,
Lynn-Cirtus Roofing 10.24.25,roofing,roof_assembly,In all areas a wall adjoins the roof the underlayment will run 4 up the side or head wall junction,EA,4.0,,,,
Lynn-Cirtus Roofing 10.24.25,insulation,thermal_insulation,Flat Roof section to receive tapered Rigid Insulation board properly secured onto deck to create a 1812 pitch away from,EA,1812.0,,,,
Lynn-Cirtus Roofing 10.24.25,insulation,thermal_insulation,1 Layer of Sharskin Ultra SA Peel and Stick to be applied over Insulation Board up the walls 4 inches and behind drip edge,EA,1.0,,,,
Lynn-Cirtus Roofing 10.24.25,roofing,roof_assembly,Capped with GAF EverGuard TPO Roofing to be rolled behind drip and 4 up walls and under reglet at walls,EA,4.0,,,,
Lynn-Cirtus Roofing 10.24.25,plumbing,rough-in,1 Furnish and install all related Flashings to be made from 16 oz Copper and installed using Copper Nails,EA,1.0,,,,
Lynn-Cirtus Roofing 10.24.25,roofing,roof_assembly,Birdstop or Eave Closure is to be installed above the drip edge this trim has weep holes every 12 to allow any water,EA,12.0,,,,
Lynn-Cirtus Roofing 10.24.25,,page_1_estimate,Page 1 Estimate,EA,1.0,,1317.0,1317.0,
Lynn-Cirtus Roofing 10.24.25,tile,floor_tile,2 Tile is to be roof loaded onto the roof of the home by SCGs Supplier of Choice Driveway must be clear on day of roof load,EA,2.0,,,,
Lynn-Cirtus Roofing 10.24.25,tile,floor_tile,3 Furnish and install a Concrete Plantation Roof Tile White Slurry Coated,EA,3.0,,,,
Lynn-Cirtus Roofing 10.24.25,tile,floor_tile,4 Tile to be installed using 212 Long 304 grade stainless steel screws,EA,4.0,,,,
Lynn-Cirtus Roofing 10.24.25,tile,floor_tile,5 Hip and Ridge Trim Tile to be installed using ICP APOC Foam Tile Adhesive in any areas where it is impossible to use a screw,EA,5.0,,,,
Lynn-Cirtus Roofing 10.24.25,,6_color_matched_mortar_to_be_used_cosmet,6 Color Matched Mortar to be used cosmetically on Hip and Ridge and other areas requiring extra closure,EA,6.0,,,,
Lynn-Cirtus Roofing 10.24.25,,7_all_valleys_and_associated_trim_inters,7 All Valleys and Associated Trim Intersections to be sealed using Mastic Brand Butyl sealant to assure water tightness,EA,7.0,,,,
Lynn-Cirtus Roofing 10.24.25,plumbing,rough-in,8 All Cosmetic Caulking to use Titebond Sealant Bronze color to match the copper after patina has taken place,EA,8.0,,,,
Lynn-Cirtus Roofing 10.24.25,roofing,roof_assembly,9 Furnish and install Lead Pipe Flashing Boots on all plumbing pipes Flange of Lead Boot to be Peel and Sticked to ensure seal to,EA,9.0,,,,
Lynn-Cirtus Roofing 10.24.25,plumbing,rough-in,10 Furnish and install Custom 16 oz Copper Gooseneck Vents and 4 Off Ridge Vents on all existing locations,EA,10.0,,,,
Lynn-Cirtus Roofing 10.24.25,roofing,roof_assembly,Upon completion of the job you will receive a 7 yr Citrus Roofing and Construction LLC Guarantee that the roof will not leak,EA,7.0,,,,
Lynn-Cirtus Roofing 10.24.25,,payments_to_be_made_in_3_increments,Payments to be made in 3 increments,EA,3.0,,,,
Lynn-Cirtus Roofing 10.24.25,,1_15_non_refundable_deposit,1 15 NON REFUNDABLE DEPOSIT,EA,1.0,,17664.0,17664.0,
Lynn-Cirtus Roofing 10.24.25,,2_50_at_completion_of_dry_in,2 50 AT COMPLETION OF DRY IN,EA,2.0,,5888000.0,5888000.0,
Lynn-Cirtus Roofing 10.24.25,,3_35_balance_upon_completion_of_job,3 35 BALANCE UPON COMPLETION OF JOB,EA,3.0,,41216000.0,41216000.0,
Lynn-Cirtus Roofing 10.24.25,,of,OF,EA,1.0,,375.0,375.0,
Lynn-Cirtus Roofing 10.24.25,,contingent_upon_strikes_accidents_or_del,contingent upon strikes accidents or delays beyond our control This proposal is subject to acceptance within 14 days of above mentioned date and is,EA,14.0,,,,
Lynn-Cirtus Roofing 10.24.25,,page_2_estimate,Page 2 Estimate,EA,2.0,,1317.0,1317.0,
Lynn-Cirtus Roofing 10.24.25,,page_3_estimate,Page 3 Estimate,EA,3.0,,1317.0,1317.0,
rock_concrete,concrete,wed_oct_29_2025_at_731_am,Wed Oct 29 2025 at 731 AM,EA,29.0,,,,
rock_concrete,paint,interior_paint,Re 291 SOD Fireplace mantel and plaster finish precedent,EA,291.0,,,,
rock_concrete,concrete,1_message,1 message,EA,1.0,,,,
rock_concrete,concrete,and_take_up_to_6_weeks_to_produce,And take up to 6 weeks to produce,EA,6.0,,,,
rock_concrete,concrete,on_oct_28_2025_at_1127_am_john_cowger_jo,On Oct 28 2025 at 1127 AM John Cowger johndccfycom wrote,EA,28.0,,,,
rock_concrete,concrete,on_oct_27_2025_at_944_am_projects_jc_wel,On Oct 27 2025 at 944 AM Projects JC Welton projectsjcweltoncom wrote,EA,27.0,,,,
rock_concrete,concrete,date_fri_oct_24_2025_at_1154_am,Date Fri Oct 24 2025 at 1154 AM,EA,24.0,,,,
rock_concrete,paint,interior_paint,Subject 291 SOD Fireplace mantel and plaster finish precedent,EA,291.0,,,,
rock_concrete,concrete,7812344348_byronbyronlynncom,7812344348 byronbyronlynncom,EA,7812344348.0,,,,
Lynn-Final Touch Cabinets 10.8.25,,494_4th_pl_sw,494 4th Pl SW,EA,494.0,,,,
Lynn-Final Touch Cabinets 10.8.25,,vero_beach_fl_32962_us,Vero Beach FL 32962 US,EA,32962.0,,,,
Lynn-Final Touch Cabinets 10.8.25,,291_sea_oak_drive,291 SEA OAK DRIVE,EA,291.0,,,,
Lynn-Final Touch Cabinets 10.8.25,,vero_beach_fl,VERO BEACH FL,EA,1.0,,32963.0,32963.0,
Lynn-Final Touch Cabinets 10.8.25,,291_sea_oak_drive,291 SEA OAK DRIVE,EA,291.0,,,,
Lynn-Final Touch Cabinets 10.8.25,,vero_beach_fl,VERO BEACH FL,EA,1.0,,32963.0,32963.0,
Lynn-Final Touch Cabinets 10.8.25,,est,Est,EA,1.0,,11113202.0,11113202.0,
Lynn-Final Touch Cabinets 10.8.25,,page_1_of,Page 1 of,EA,1.0,,3.0,3.0,
Lynn-Final Touch Cabinets 10.8.25,,bath,BATH,EA,1.0,,1.0,1.0,
Lynn-Final Touch Cabinets 10.8.25,,bath,BATH,EA,1.0,,2.0,2.0,
Lynn-Final Touch Cabinets 10.8.25,,bath,BATH,EA,1.0,,3.0,3.0,
Lynn-Final Touch Cabinets 10.8.25,,bath,BATH,EA,1.0,,4.0,4.0,
Lynn-Final Touch Cabinets 10.8.25,,page_2_of,Page 2 of,EA,2.0,,3.0,3.0,
Lynn-Final Touch Cabinets 10.8.25,,note_lead_time_is_1012_weeks_and_subject,NOTE LEAD TIME IS 1012 WEEKS AND SUBJECT TO CHANGE,EA,1012.0,,,,
Lynn-Final Touch Cabinets 10.8.25,,50_deposit_due_to_order_50_upon_delivery,50 DEPOSIT DUE TO ORDER 50 UPON DELIVERY,EA,50.0,,,,
Lynn-Final Touch Cabinets 10.8.25,,3_administration_fee_for_all_non_achchec,3 Administration Fee for all non ACHCheck payments,EA,3.0,,,,
Lynn-Final Touch Cabinets 10.8.25,,quoted_price_is_only_valid_for_5_busines,quoted price is only valid for 5 business days from quote,EA,5.0,,,,
Lynn-Final Touch Cabinets 10.8.25,,page_3_of,Page 3 of,EA,3.0,,3.0,3.0,
Lynn-Gale Insulation 10.24.25,,branch_037_3601a_crossroads_parkway_ft_p,Branch 037 3601A Crossroads Parkway Ft Pierce FL 349452700 772,EA,37.0,,4659191.0,4659191.0,
Lynn-Gale Insulation 10.24.25,,7707_us_highway_1_ste,7707 US HIGHWAY 1 STE,EA,7707.0,,10.0,10.0,
Lynn-Gale Insulation 10.24.25,,vero_beach_fl,VERO BEACH FL,EA,1.0,,32967.0,32967.0,
Lynn-Gale Insulation 10.24.25,,772,772,EA,772.0,,3888882.0,3888882.0,
Lynn-Gale Insulation 10.24.25,,291_sea_oak_dr,291 Sea Oak Dr,EA,291.0,,,,
Lynn-Gale Insulation 10.24.25,,vero_beach_fl,VERO BEACH FL,EA,1.0,,32963.0,32963.0,
Lynn-Gale Insulation 10.24.25,,quote_83659097,QUOTE 83659097,EA,83659097.0,,4.0,4.0,
Lynn-Gale Insulation 10.24.25,,issue_date,ISSUE DATE,EA,1.0,,10242025.0,10242025.0,
Lynn-Gale Insulation 10.24.25,,open_cell_foam_r20_enertite_g_55_nominal,OPEN CELL FOAM R20 ENERTITE G 55 Nominal Inches,EA,55.0,,,,
Lynn-Gale Insulation 10.24.25,,open_cell_foam_r20_enertite_g_55_nominal,OPEN CELL FOAM R20 ENERTITE G 55 Nominal Inches,EA,55.0,,,,
Lynn-Gale Insulation 10.24.25,,open_cell_foam_r20_enertite_g_55_nominal,OPEN CELL FOAM R20 ENERTITE G 55 Nominal Inches,EA,55.0,,,,
Lynn-Gale Insulation 10.24.25,,open_cell_foam_r20_enertite_g_55_nominal,OPEN CELL FOAM R20 ENERTITE G 55 Nominal Inches,EA,55.0,,,,
Lynn-Gale Insulation 10.24.25,,3_mineral_wool,3 MINERAL WOOL,EA,3.0,,,,
Lynn-Gale Insulation 10.24.25,,draft_stop_fire_block_fire_stop_ibc_7184,Draft stop fire block fire stop IBC 71841 71842 and 71843 or locally adopted equivalent and fire rated caulking are,EA,71841.0,,,,
Lynn-Gale Insulation 10.24.25,,acceptance_contractor_may_change_andor_w,ACCEPTANCE Contractor may change andor withdraw this agreement if Contractor does not receive your signed acceptance within 10 business days after the,EA,10.0,,,,
Lynn-Gale Insulation 10.24.25,,pricing_the_prices_stated_in_the_scope_o,PRICING The prices stated in the Scope of Work above will remain firm for 60 days after the Date stated above If performance of this agreement extends,EA,60.0,,,,
Lynn-Gale Insulation 10.24.25,,beyond_this_60_day_period_you_agree_to_p,beyond this 60 day period you agree to pay Contractors then current pricing Price for any Work performed after that 60 day period The Prices are based only on,EA,60.0,,,,
Lynn-Gale Insulation 10.24.25,,page_1_of,Page 1 of,EA,1.0,,4.0,4.0,
Lynn-Gale Insulation 10.24.25,,actions_andor_lawsuits_of_any_kind_or_na,actions andor lawsuits of any kind or nature whatsoever except to the limited extent state in Section 18 of this agreement Any terms or conditions required by you by,EA,18.0,,,,
Lynn-Gale Insulation 10.24.25,,page_2_of,Page 2 of,EA,2.0,,4.0,4.0,
Lynn-Gale Insulation 10.24.25,,1_acceptance_this_agreement_is_expressly,1 ACCEPTANCE This agreement is expressly limited to and made conditional upon your acceptance of its terms and conditions Any of your terms and conditions which are,EA,1.0,,,,
Lynn-Gale Insulation 10.24.25,,2_limited_warranty_all_work_performed_by,2 LIMITED WARRANTY All work performed by Contractor is warranted to be free from defects in material and workmanship for one year from the date of completion of,EA,2.0,,,,
Lynn-Gale Insulation 10.24.25,,3_insurance_contractor_shall_maintain_wo,3 INSURANCE Contractor shall maintain workers compensation employer liability as required by law and 1000000 in general liability insurance while performing the,EA,3.0,,,,
Lynn-Gale Insulation 10.24.25,,4_limitation_of_remedies_your_sole_and_e,4 LIMITATION OF REMEDIES Your sole and exclusive remedy against Contractor for any and all claims for damages arising out of or alleged to have arisen out the,EA,4.0,,,,
Lynn-Gale Insulation 10.24.25,,the_alleged_damages_within_30_days_after,the alleged damages within 30 days after Contractors receipt of the notice If you fail to give the required notice andor fail to allow Contractor an opportunity to inspect the,EA,30.0,,,,
Lynn-Gale Insulation 10.24.25,,allege_damages_within_30_days_you_hereby,allege damages within 30 days you hereby waive any and all rights for damages andor correction of work against Contractor This Limitations of Remedies may be plead as a,EA,30.0,,,,
Lynn-Gale Insulation 10.24.25,,5_limitations_on_actions_and_liability_a,5 LIMITATIONS ON ACTIONS AND LIABILITY All claims andor lawsuits including but not limited to claims or lawsuits for indemnity andor contribution against,EA,5.0,,,,
Lynn-Gale Insulation 10.24.25,,contractor_arising_under_this_agreement,Contractor arising under this agreement must be made within 13 months from the date of completion of the installation CONTRACTOR WILL NOT BE LIABLE FOR ANY,EA,13.0,,,,
Lynn-Gale Insulation 10.24.25,,6_prices_terms_and_shipment_no_cash_disc,6 PRICES TERMS AND SHIPMENT No cash discounts back charges set offs or counterclaims are allowed unless specified by Contractor In addition to the prices,EA,6.0,,,,
Lynn-Gale Insulation 10.24.25,,15_per_month_18_per_annum_to_the_extent,15 per month 18 per annum to the extent permitted by law You agree to receive or permit Contractor to receive near the work site any materials needed to complete the,EA,15.0,,,,
Lynn-Gale Insulation 10.24.25,,7_force_majeure_contractor_shall_not_be,7 FORCE MAJEURE Contractor shall not be liable for any delay failures or default in performance of this agreement or otherwise in whole or in part caused by the,EA,7.0,,,,
Lynn-Gale Insulation 10.24.25,,8_confidentiality_if_you_visit_contracto,8 CONFIDENTIALITY If you visit Contractors premises or you otherwise receive any proprietary or confidential information from Contractor you shall retain such,EA,8.0,,,,
Lynn-Gale Insulation 10.24.25,,9_credit_approval_shipment_and_delivery,9 CREDIT APPROVAL Shipment and delivery of goods and performance of work shall at all times be subject to the approval of Contractors credit department and,EA,9.0,,,,
Lynn-Gale Insulation 10.24.25,,10_cancellation_this_agreement_or_any_pa,10 CANCELLATION This agreement or any part of it may only be cancelled with Contractors written approval In the event of cancellation of this agreement or any part,EA,10.0,,,,
Lynn-Gale Insulation 10.24.25,,11_default_you_may_terminate_this_agreem,11 DEFAULT You may terminate this agreement for Contractors default wholly or in part by giving Contractor written notice of termination as follows You may give a,EA,11.0,,,,
Lynn-Gale Insulation 10.24.25,,default_has_not_been_remedied_within_thi,default has not been remedied within thirty 30 days or such longer period as may be reasonable under the circumstances after Contractors receipt of the notice of default,EA,30.0,,,,
Lynn-Gale Insulation 10.24.25,hvac,system_install,Delivery of nonconforming products or work by Contractor shall give you the rights set forth in paragraph 4 hereof but shall not be deemed a default for purposes of,EA,4.0,,,,
Lynn-Gale Insulation 10.24.25,,12_assignment_you_may_not_assign_this_ag,12 ASSIGNMENT You may not assign this agreement or any claim against Contractor relating to this agreement,EA,12.0,,,,
Lynn-Gale Insulation 10.24.25,,13_governing_law_this_agreement_shall_be,13 GOVERNING LAW This agreement shall be construed interpreted and the rights of the parties determined in accordance with the laws of the State of Contractors,EA,13.0,,,,
Lynn-Gale Insulation 10.24.25,,14_disputes_and_mandatory_mediation_in_t,14 DISPUTES AND MANDATORY MEDIATION In the event that a dispute arises over the reasonableness of or entitlement to fees charged by Contractor the,EA,14.0,,,,
Lynn-Gale Insulation 10.24.25,,30_days_of_when_the_dispute_arose_one_wi,30 days of when the dispute arose one will be selected pursuant to the Commercial Mediation Rules of the American Arbitration Association Each party will share equally the,EA,30.0,,,,
Lynn-Gale Insulation 10.24.25,insulation,thermal_insulation,15 INSULATION DOES NOT PREVENT FROZEN PIPES Insulating around water lines in an unconditioned or semiconditioned area will not prevent pipes from,EA,15.0,,,,
Lynn-Gale Insulation 10.24.25,,16_severability_if_any_provision_on_this,16 SEVERABILITY If any provision on this agreement is not enforceable that provision shall be effective only to the extent permitted by law and all other provisions of this,EA,16.0,,,,
Lynn-Gale Insulation 10.24.25,,17_entire_agreement_this_instrument_cont,17 ENTIRE AGREEMENT This instrument contains the entire agreement of the parties relating to the subject matter hereof and may only be waived changed modified,EA,17.0,,,,
Lynn-Gale Insulation 10.24.25,,18_indemnity_each_of_the_parties_to_this,18 INDEMNITY Each of the parties to this agreement agrees to defend and indemnify one another from any and all claims actions andor lawsuits caused by the partys,EA,18.0,,,,
Lynn-Gale Insulation 10.24.25,,page_3_of,Page 3 of,EA,3.0,,4.0,4.0,
Lynn-Gale Insulation 10.24.25,,branch_037_3601a_crossroads_parkway_ft_p,Branch 037 3601A Crossroads Parkway Ft Pierce FL 349452700 772,EA,37.0,,4659191.0,4659191.0,
Lynn-Gale Insulation 10.24.25,,7707_us_highway_1_ste,7707 US HIGHWAY 1 STE,EA,7707.0,,10.0,10.0,
Lynn-Gale Insulation 10.24.25,,vero_beach_fl,VERO BEACH FL,EA,1.0,,32967.0,32967.0,
Lynn-Gale Insulation 10.24.25,,772,772,EA,772.0,,3888882.0,3888882.0,
Lynn-Gale Insulation 10.24.25,,291_sea_oak_dr,291 Sea Oak Dr,EA,291.0,,,,
Lynn-Gale Insulation 10.24.25,,vero_beach_fl,VERO BEACH FL,EA,1.0,,32963.0,32963.0,
Lynn-Gale Insulation 10.24.25,,quote_83659097,QUOTE 83659097,EA,83659097.0,,4.0,4.0,
Lynn-Gale Insulation 10.24.25,,issue_date,ISSUE DATE,EA,1.0,,10242025.0,10242025.0,
Lynn-Gale Insulation 10.24.25,,page_4_of,Page 4 of,EA,4.0,,4.0,4.0,
Lynn-Gator 11.6.25,,gator_building_supply_9555_n_us_highway,Gator Building Supply 9555 N US Highway 1 Sebastian FL,EA,9555.0,,32958.0,32958.0,
Lynn-Gator 11.6.25,,p_772,P 772,EA,772.0,,5898976.0,5898976.0,
Lynn-Gator 11.6.25,,f_772,F 772,EA,772.0,,5899642.0,5899642.0,
Lynn-Gator 11.6.25,,2x4_cypress_2_facia,2x4 Cypress 2 Facia,EA,2.0,,,,
Lynn-Gator 11.6.25,,1x4_cypress_select_tg_soffit_1_oc,1x4 Cypress Select TG Soffit 1 oc,EA,1.0,,,,
Lynn-Gator 11.6.25,,2x12_cypress_2_bird_blocking,2x12 Cypress 2 Bird Blocking,EA,2.0,,,,
Lynn-Gator 11.6.25,roofing,roof_assembly,58 4x8 CDX Roof Sheathing 812 slope,EA,58.0,,,,
Lynn-Gator 11.6.25,,pscl_ply_clips_250_pieces,PSCL Ply Clips 250 pieces,EA,250.0,,,,
Lynn-Gator 11.6.25,framing,framing_lumber,3x8x2 Cypress 2 Rafter Tail 2 oc,EA,2.0,,,,
Lynn-Gator 11.6.25,framing,framing_lumber,3x8x3 Cypress 2 Rafter Tail 2 oc,EA,2.0,,,,
Lynn-Gator 11.6.25,,2_weeks_lead_time_lumber,2 weeks lead time lumber,EA,2.0,,,,
Lynn-Gator 11.6.25,framing,framing_lumber,2x8x12 SYP 16 oc Joists S6,EA,16.0,,,,
Lynn-Gator 11.6.25,,58_4x8_sheathing_backer,58 4x8 Sheathing Backer,EA,58.0,,,,
Lynn-Gator 11.6.25,,58_4x8_sheathing_backer,58 4x8 Sheathing Backer,EA,58.0,,,,
Lynn-Gator 11.6.25,,2_2x6x16_pt_prime_ledger_1s8,2 2x6x16 PT Prime Ledger 1S8,EA,2.0,,,,
Lynn-Gator 11.6.25,,2_2x8x16_pt_ledger_2s7_1s7,2 2x8x16 PT Ledger 2S7 1S7,EA,2.0,,,,
Lynn-Gator 11.6.25,,lmw200_5_gal,LMW200 5 Gal,EA,5.0,,,,
Lynn-Gator 11.6.25,,pocket_door_frames,Pocket Door Frames,EA,1.0,,8.0,8.0,
Lynn-Gator 11.6.25,,30x70x_134_all_poplar_frame_with_54_jamb,30x70x 134 All Poplar Frame with 54 Jamb Leg and,EA,134.0,,,,
Lynn-Gator 11.6.25,drywall,gypsum_board,dado 2x6 wall 12 Drywall,EA,12.0,,,,
Lynn-Gator 11.6.25,,28x70x_134_all_poplar_frame_with_54_jamb,28x70x 134 All Poplar Frame with 54 Jamb Leg and,EA,134.0,,,,
Lynn-Gator 11.6.25,drywall,gypsum_board,dado 2x6 wall 12 Drywall,EA,12.0,,,,
Lynn-Gator 11.6.25,,26x70x_134_all_poplar_frame_with_54_jamb,26x70x 134 All Poplar Frame with 54 Jamb Leg,EA,134.0,,,,
Lynn-Gator 11.6.25,drywall,gypsum_board,and dado 2x6 wall 12 Drywall,EA,12.0,,,,
Lynn-Gator 11.6.25,,24x70x_134_all_poplar_frame_with_54_jamb,24x70x 134 All Poplar Frame with 54 Jamb Leg and,EA,134.0,,,,
Lynn-Gator 11.6.25,drywall,gypsum_board,dado 2x6 wall 12 Drywall,EA,12.0,,,,
Lynn-Gator 11.6.25,,ridge,Ridge,EA,1.0,,1.0,1.0,
Lynn-Gator 11.6.25,,34x6_net_s4s_poplar_1_bottom_dbl_lock_mi,34x6 net S4S Poplar 1 Bottom DBL Lock Miter,EA,1.0,,,,
Lynn-Gator 11.6.25,,34x634_net_s4s_poplar_2_sides_single_loc,34x634 net S4S Poplar 2 Sides Single Lock Miter,EA,2.0,,,,
Lynn-Gator 11.6.25,,hip_beams,Hip Beams,EA,1.0,,4.0,4.0,
Lynn-Gator 11.6.25,,34x6_net_s4s_poplar_2_sides_single_lock,34x6 net S4S Poplar 2 Sides Single Lock Miter,EA,2.0,,,,
Lynn-Gator 11.6.25,,intermediate_beams,Intermediate Beams,EA,1.0,,18.0,18.0,
Lynn-Gator 11.6.25,,34x4_net_s4s_poplar_2_sides_single_lock,34x4 net S4S Poplar 2 Sides Single Lock Miter,EA,2.0,,,,
Lynn-Gator 11.6.25,,ridge,Ridge,EA,1.0,,2.0,2.0,
Lynn-Gator 11.6.25,,34x6_net_s4s_poplar_1_bottom_dbl_lock_mi,34x6 net S4S Poplar 1 Bottom DBL Lock Miter,EA,1.0,,,,
Lynn-Gator 11.6.25,,34x634_net_s4s_poplar_2_sides_single_loc,34x634 net S4S Poplar 2 Sides Single Lock Miter,EA,2.0,,,,
Lynn-Gator 11.6.25,,hip_beams,Hip Beams,EA,1.0,,4.0,4.0,
Lynn-Gator 11.6.25,,34x6_net_s4s_poplar_2_sides_single_lock,34x6 net S4S Poplar 2 Sides Single Lock Miter,EA,2.0,,,,
Lynn-Gator 11.6.25,,intermediate_beams,Intermediate Beams,EA,1.0,,11.0,11.0,
Lynn-Gator 11.6.25,,34x4_net_s4s_poplar_2_sides_single_lock,34x4 net S4S Poplar 2 Sides Single Lock Miter,EA,2.0,,,,
Lynn-Gator 11.6.25,,page_2_of,Page 2 of,EA,2.0,,5.0,5.0,
Lynn-Gator 11.6.25,,bedroom,Bedroom,EA,1.0,,1.0,1.0,
Lynn-Gator 11.6.25,,ridge,Ridge,EA,1.0,,1.0,1.0,
Lynn-Gator 11.6.25,,34x6_net_s4s_poplar_1_bottom_dbl_lock_mi,34x6 net S4S Poplar 1 Bottom DBL Lock Miter,EA,1.0,,,,
Lynn-Gator 11.6.25,,34x634_net_s4s_poplar_2_sides_single_loc,34x634 net S4S Poplar 2 Sides Single Lock Miter,EA,2.0,,,,
Lynn-Gator 11.6.25,,intermediate_beams,Intermediate Beams,EA,1.0,,8.0,8.0,
Lynn-Gator 11.6.25,,34x4_net_s4s_poplar_2_sides_single_lock,34x4 net S4S Poplar 2 Sides Single Lock Miter,EA,2.0,,,,
